1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 
2 2 2 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 
1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 
1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 
1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 2 2 1 0 1 2 2 2 2 2 2 2 2 2 
1 1 1 1 1 1 1 1 1 4 1 3 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 2 1 0 0 1 2 2 2 2 2 2 2 2 2 
1 1 1 1 1 1 9 1 0 4 1 1 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 2 1 0 0 0 1 2 2 2 2 2 2 2 2 
1 1 1 1 1 1 1 1 0 4 0 1 3 1 1 1 1 1 1 1 
2 2 2 2 2 2 1 4 0 1 4 1 2 2 2 2 2 2 2 2 
1 1 1 1 1 3 1 0 4 1 0 1 1 1 1 1 1 1 1 1 
2 2 2 2 2 2 1 4 0 1 4 0 1 2 2 2 2 2 2 2 
1 1 1 1 1 1 1 4 4 1 4 4 1 3 1 1 1 1 1 1 
2 2 2 2 2 1 0 0 0 8 0 0 1 2 2 2 2 2 2 0 
1 1 1 1 3 1 5 0 6 0 7 0 1 1 1 1 1 1 1 1 
2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 
11
